### ТАБЛИЦА: store ###
city,store_location,store_name,store_number,store_id,address,zip_code,county_id
CEDAR RAPIDS,POINT(-91.642557 41.977226),HILL BROTHERS JIFFY MART / CEDAR RAPIDS,4660,156,"1904, MT VERNON RD SE",52403.0,12
CHARITON,POINT(-93.293312 41.005258),CHARITON BP,4720,157,"107, EAST GRACE",50049.0,52
CEDAR RAPIDS,POINT(-91.680323 41.977958),7STAR LIQUOR & TOBACCO OUTLET,5462,158,502 E AVE NW,52405.0,12
MOUNT PLEASANT,POINT(-91.52888 40.962331),HY-VEE FOOD STORE / MOUNT PLEASANT,2558,159,1700 E WASHINGTON,52641.0,50
SIOUX CITY,POINT(-96.37287 42.530454),WAL-MART 3590 / SIOUX CITY,3757,160,3101 FLOYD BLVD,51108.0,8
EAGLE GROVE,POINT(-93.903801 42.665165),FAREWAY STORES #551 / EAGLE GROVE,4236,161,205 NW  1ST ST,50533.0,53
IOWA CITY,POINT(-91.53395 41.66008),TARGET STORE T-3374 / IOWA CITY,6008,162,113 E WASHINGTON ST,52240.0,7
URBANA,POINT(-91.889529038 42.2465789840001),CASEY'S GENERAL STORE #3294 / URBANA,5607,163,5350 31ST AVE,52345.0,40
WATERLOO,POINT(-92.353103 42.456374),SAM'S CLUB 6514 / WATERLOO,3494,164,210 EAST TOWER PARK DR,50702.0,9
PELLA,POINT(-92.899277 41.396961),HY-VEE WINE AND SPIRITS / PELLA,2642,165,512 E OSKALOOSA,50219.0,11
LECLAIRE,POINT(-90.343594 41.599733),MISSISSIPPI RIVER DISTILLERY,9002,166,303 N CODY RD,52753.0,5
CEDAR FALLS,POINT(-92.435236 42.512789),HY-VEE FOOD STORE / CEDAR FALLS,2572,167,6301 UNIVERSITY,50613.0,9
PLEASANT HILL,POINT(-93.505732 41.599274),FAREWAY STORES #138 / PLEASANT HILL,4971,168,"5500, E UNIVERSITY AVE",50327.0,1
MASON CITY,POINT(-93.235588 43.148451),HY-VEE FOOD STORE #1 / MASON CITY,2515,169,2400 4TH ST SW,50401.0,17
CEDAR RAPIDS,POINT(-91.663629 42.01133),POINT LIQUOR & TOBACCO,5230,170,"3221, CENTER POINT RD NE",52402.0,12
URBANDALE,POINT(-93.739105 41.629364),HY-VEE FOOD STORE / URBANDALE,2663,171,8701 DOUGLAS,50322.0,1
JOHNSTON,POINT(-93.697731 41.665172),HY-VEE FOOD STORE / JOHNSTON,2587,172,5750 MERLE HAY ROAD,50131.0,1
CORALVILLE,POINT(-91.610774 41.695806),WAL-MART 2827 / CORALVILLE,3670,173,2801 COMMERCE DR,52241.0,7
DAVENPORT,POINT(-90.596253 41.535982),WASHINGTON STREET MINI MART,3805,174,1601 WASHINGTON ST,52804.0,5
COUNCIL BLUFFS,POINT(-95.903766 41.261908),MEGA SAVER,5327,175,3540 W BROADWAY,51501.0,10
WATERLOO,POINT(-92.337744 42.510453),LOGAN AVE CONVENIENCE STORE / WATERLOO,5691,176,735 LOGAN AVE,50703.0,9
WATERLOO,POINT(-92.3272 42.494092),PRIME MART 7 / WATERLOO,5415,177,1309 LAFAYETTE ST,50703.0,9
LE MARS,POINT(-96.171858 42.793075),BREW COFFEE WINE SPIRIT AND CIGARS,5431,178,346 PLYMOUTH ST SW,51031.0,25
IOWA CITY,POINT(-91.530225 41.656031),CITY LIQUOR / IOWA CITY,5934,179,425 S GILBERT ST,52240.0,7
KNOXVILLE,POINT(-93.107862 41.320744),NEW STAR / KNOXVILLE,5740,180,901 WEST PLEASANT ST,50138.0,11
WEST DES MOINES,POINT(-93.795512 41.558107),WAL-MART 3762 / WDM,3899,181,6365 STAGECOACH DR,50266.0,1
CENTERVILLE,POINT(-92.867967 40.737617),HY-VEE FAST & FRESH EXPRESS / CENTERVILLE,2677,182,607 N 18TH ST,52544.0,14
DUBUQUE,POINT(-90.744462996 42.516845992),HY-VEE #2 / DUBUQUE,2624,183,2395 NW ARTERIAL RD,52002.0,13
DAVENPORT,POINT(-90.527081 41.559731),SAM'S CLUB 8238 / DAVENPORT,3354,184,3845 ELMORE AVE.,52807.0,5
CEDAR FALLS,POINT(-92.429331 42.512766),HAPPY'S WINE & SPIRITS,4988,185,5925 UNIVERSITY AVE,50613.0,9
IOWA CITY,POINT(-91.53454 41.64172),GOPUFF / IOWA CITY,5926,186,1907 STEVENS DR  UNITS C-E,52240.0,7
NEWTON,POINT(-93.058352 41.690355),PETRO STOP - NEWTON,5722,187,404 SOUTH 11TH AVENUE WEST,50208.0,38
DUBUQUE,POINT(-90.758554 42.510488),CASEY'S GENERAL STORE #1065 / ASBURY,5624,188,5505 ASBURY RD,52002.0,13
CEDAR RAPIDS,POINT(-91.658576 41.955859),HY-VEE FOOD STORE #3 / CEDAR RAPIDS,2552,189,20 WILSON AVENUE WEST,52404.0,12
COUNCIL BLUFFS,POINT(-95.889605 41.216413),SUPER QUICK STOP - COUNCIL BLUFFS,5849,190,2800 TWIN CITY DR. SUITE 10,51501.0,10
ANKENY,POINT(-93.60044 41.73464),HY-VEE WINE AND SPIRITS (1022) / ANKENY,2502,191,410 NORTH ANKENY BLVD,50021.0,1
EDDYVILLE,POINT(-92.628767 41.154584),EDDYVILLE TRAVEL PLAZA BP,6027,192,500 S MERINO AVE,52553.0,39
WEST DES MOINES,POINT(-93.752 41.59776),HY-VEE FOOD STORE #1 / WDM,2535,193,1700 VALLEY WEST DR.,50266.0,1
AMES,POINT(-93.65084 42.02144),AJ'S LIQUOR II,4509,194,2515 CHAMBERLAIN,50010.0,36
AMES,POINT(-93.619455 42.022848),HY-VEE  #2 / AMES,2501,195,640 LINCOLNWAY,50010.0,36
DUBUQUE,POINT(-90.670151 42.5116),NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,5660,196,2013 CENTRAL AVE,52001.0,13
TREYNOR,POINT(-95.617322 41.232472),CASEY'S GENERAL STORE #38 / TREYNOR,4503,197,102 W MAIN ST,51575.0,10
ADEL,POINT(-94.018348 41.614408),CASEY'S GENERAL STORE #1680 / ADEL,4929,198,816 GREENE ST,50003.0,6
DAVENPORT,POINT(-90.589149 41.521586),KC BROTHERS,5226,199,214 MYRTLE ST,52802.0,5
